arm,s_a,s_a_shrunk,rank,confidence,rationale
flimsy fish,0.965,0.1931,1,medium,"Only arm asserting all four trust facets at once (self-correction=openness, ""not pushing a message""=integrity, model improvement=competence); first-person scientist voice; no distrust priming."
honored haddock,0.678,0.1355,2,medium,"Process-transparency + accountability content maps directly onto openness/integrity items; short, unemotional, no myth repetition; mild self-praise (""toughest test"") is the only debit."
complicated cockroach,0.634,0.1269,3,low,"Benevolence+competence portrait of an ordinary community scientist; no numbers, no politics, no distrust mention; ordering driven by assertion-match only, hence low confidence."
giant gibbon; brick bobcat,0.39,0.078,4,low,Third-party (insurer) endorsement is a costly-signal argument for competence AND non-ideological integrity; business framing is right-friendly; reflection prompt adds elaboration.
practical planarian,0.303,0.0607,5,medium,"Competence+benevolence+practical benefit, state-personalised; no partisan or distrust content; the only arm with tailored relevance, which is a dose-not-content advantage."
limping llama; friendly frog,0.303,0.0607,6,low,"Identity-bridge testimonials (registered Republican meteorologist, conservative ex-congressman) give the largest expected Republican-side headroom; but narrative/testimonial content did not transfer in train."
heartfelt hummingbird,0.282,0.0564,7,low,"Benevolence+integrity in the scientist's own voice, but the most emotionally loaded of the interview arms and mentions vulnerable populations (mild left coding); emotive penalty applied."
jealous jaguar,0.181,0.0362,8,medium,"Consensus + elicit-then-correct; strong on competence, weak on integrity/benevolence/openness; includes a genuine-disagreement item (66%) which is honest but dilutes; elicitation penalty."
apple aardvark,0.03,0.006,9,low,"Strong competence claim (verified 50-year forecasts) and admitted error, but leads by restating the ""models can't predict"" criticism (myth-first penalty from the matched Consensus-I/II contrast)."
periwinkle partridge,-0.071,-0.0141,10,low,Pure benevolence/community frame with little competence or integrity content; warm and emotive; assertion-match to the benevolence items only.
orchid orangutan; defiant dragonfly,-0.143,-0.0285,11,medium,"Competence-only exposition, jargon-dense (disdrometers, wavelet analysis); asserts rigour/reproducibility but says nothing about motives, openness or care."
phony parrotfish,-0.157,-0.0314,12,low,High facet-match on integrity/openness (salary and funding transparency) but forces respondents to state agreement with two accusations first; distrust-priming and elicitation penalties cancel the match.
perfect prawn,-0.473,-0.0947,13,medium,"Longest pure-description arm; competence only, no trust claim of any kind; closest analogue in train to ""informative but off-construct"" arms."
crushing chicken; gross grasshopper; homely halibut,-0.826,-0.1652,14,low,"Zero direct facet content (it is a second-order belief correction), but it is the single arm type with direct train support on a trust outcome (gligoric2025 Norms arm was the best of five, n.s.), so it is held well above the bottom of the facet-only ordering."
worse wildfowl,-1.027,-0.2055,15,low,"Longest, most adversarial arm: opens by voicing distrust, attacks an out-group, high emotive/moral load - the two text properties with the most reliable negative sign in the train split (hackenburg2025)."
difficult dog,-1.07,-0.2141,16,medium,Explicitly left-coded us-vs-them redistribution frame with the highest moral/emotive load; highest risk of Republican-side alienation; weakest facet coverage per word.
