estimate,dataset,files,units,value,caveat
between-arm ceiling: trust outcome,gligoric2025,downloads/Main Study/Analyses (data and codes)/dataMainStudy.csv,"n=5,590 conservatives (Ideology>5), 5 message arms + control; 35 occupation trust scores (2 items, 1-7)",mean ATE +0.20pp of scale range; obs arm SD 0.53pp; noise SD 0.83pp; noise-corrected true arm SD 0.00pp,ONLY conservatives were randomised to interventions; liberals are all in Control - a naive whole-sample contrast gives a spurious -2 to -5pp
between-arm ceiling: inoculation arms,spampatti2023,downloads/Data/Preprocessed/Showdown.csv,"n=5,948, conditions 0-6 (0 = disinformation-only control), outcome CCB",mean ATE +0.50pp; obs arm SD 0.46pp; noise SD 1.05pp; true arm SD 0.00pp,arm labels used as Inoc1..Inoc6 (numeric condition codes) - semantic labels not verified
between-arm ceiling + arm scores,voelkel2026,/workspace/run/anchors/voelkel2026_ates_ancova.csv (from downloads/CCC - Data - Recoded.csv),"10 climate message arms vs 3 pooled controls, 8 attitudinal outcomes, ANCOVA",mean ATE 1.19pp; true arm-main SD 0.67pp (ratio 0.56); arm scores s_obs range -1.42..+1.12,"closest train analogue in dose and population; outcomes are climate attitudes, not trust"
between-arm ceiling + arm scores,vlasceanu2024,/workspace/run/anchors/vlasceanu2024_ates.csv and _global_context.csv,"11 climate interventions; US n=8,253 and global n=59,440","US: mean 2.96pp, true arm SD 0.00; global: mean 1.69pp, true arm SD 0.88pp (ratio 0.52)",US subsample is too noisy to rank arms; global pooling is used for the ceiling only
between-arm ceiling; expert-coded feature test,voelkel2024,downloads/SDC - Data - Recoded.csv + SDC - Data - Intervention - Coding J.xlsx / Coding N.xlsx,"25 interventions vs Null_Control, n=35,252; outcomes PA, ADA, SPV","PA: mean 4.70pp, true arm SD 2.98pp (ratio 0.63). Leave-one-arm-out r_adj with 11 expert-coded features: PA +0.13, ADA -0.04, SPV +0.36",inter-coder r 0.63-1.00; univariate LOAO r_adj is negative for most features
text-metric feature test + ceiling,hackenburg2025,downloads/main_study/code/analysis/final_data_with_metrics.csv,"682 distinct messages (577 legible+on-topic), 10 policy issues, n=25,982","mean ATE 6.64pp; median-issue true between-message SD 3.0pp (ratio 0.45). LOSO-by-issue r_adj: 0.24 (competent subset) / 0.41 (incl. degenerate messages). Weighted pooled betas: emotion_proportion -2.09pp/SD (t=-3.48), moral ratio -0.46 (t=-1.33; -0.82 univariate t=-2.57), word count -0.91 (t=-1.35), flesch -0.07 (t=-0.25)",the single largest message-level feature test available; different topic family (US policy attitudes)
matched-content contrast (myth-first penalty),voelkel2026,voelkel2026_ates_ancova.csv,"Consensus Framing I vs Consensus Framing II, same study, same outcomes","s_obs -0.71 vs +0.76 (delta 1.47 sd units, se~0.29)",both are scientific-consensus messages; the one that leads with debunking a specific denialist claim is far worse
cross-study transfer of arm type,voelkel2026 + vlasceanu2024,both ATE tables + coded arm types,"4 intervention types present in both studies (consensus, system-justification, binding-moral, threat/negative-emotion)",rank correlation across studies r = -0.28,n=4 types; the direct test of whether an arm type carries a stable score across studies
LOSO feature fit on climate/trust studies,voelkel2026 + vlasceanu2024 + gligoric2025,"arm texts from CCC - Questionnaire - Qualtrics.pdf, usa_1.qsf, Qualtrics file.qsf","26 arms, 17-feature scheme, leave-one-study-out",multivariate LOSO r = -0.37 (negative in all three held-out studies); best single feature (politically_coded) +0.22,5 of 17 features have 0 or 1 instance in the train arms - the target arm space is largely out of support
backfire base rate,"voelkel2026, vlasceanu2024, voelkel2024, spampatti2023, hackenburg2025",as above,arm-level pooled ATEs,"significantly negative arms: 0/10, 0/11, 0/25, 0/6; hackenburg 2.3% of 577 competent messages",point estimates negative in 0-8% of megastudy arms; no arm was significantly net-negative in any climate/democracy megastudy
