spec,dataset,file,control_arm,arms,outcomes,n_used,method,note
voelkel2026_post8,voelkel2026,downloads/CCC - Data - Recoded.csv,Control (3 pooled placebo texts),"['Binding Framing', 'Consensus Framing 1', 'Consensus Framing 2', 'Dire But Solvable Framing', 'Free Market Framing', 'Gains Framing', 'High Social Distance Framing', 'Purity Framing', 'System Preservation Framing', 'Warmth Framing']","['Belief_Post', 'Concern_Post', 'Policies_Post', 'Intent_Post', 'PoliciesSp_Post', 'Candidate_Post', 'Companies_Post', 'IntentNp_Post']",13821,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",all outcomes 0-100 post sliders
voelkel2026_ancova_8out,voelkel2026,downloads/CCC - Data - Recoded.csv,Control,"['Binding Framing', 'Consensus Framing 1', 'Consensus Framing 2', 'Dire But Solvable Framing', 'Free Market Framing', 'Gains Framing', 'High Social Distance Framing', 'Purity Framing', 'System Preservation Framing', 'Warmth Framing']","['Belief_Res', 'Concern_Res', 'Policies_Res', 'Intent_Res', 'PoliciesSp_Res', 'Candidate_Res', 'Companies_Res', 'IntentNp_Res']",13821,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables applied to post residualised on pre (pooled OLS slope)","same estimand, ~5x less noise"
voelkel2024_post8,voelkel2024,downloads/SDC - Data - Recoded.csv,Null_Control,"['Befriending_Meditation', 'Chatbot_Quiz', 'Civity_Storytelling', 'Common_Identity', 'Contact_Project', 'Counterfactual_Selves', 'Democratic_Fear', 'Economic_Interests', 'Empathy_Beliefs', 'Epistemic_Rescue', 'Harmful_Experiences', 'Inparty_Elites', 'Learning_Goals', 'Media_Trust', 'Misperception_Competition', 'Misperception_Democratic', 'Misperception_Film', 'Misperception_Suffering', 'Moral_Differences', 'Outparty_Friendship', 'Partisan_Threat', 'Party_Overlap', 'System_Justification', 'Utah_Cues', 'Violence_Efficacy']","['PA', 'ADA', 'SPV', 'SUC', 'OppBip', 'SocDistrust', 'SocDis', 'BEPF']",35252,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",Alternative_Control excluded
vlasceanu2024_us,vlasceanu2024,downloads/data63.xlsx,Control,"['BindingMoral', 'CollectAction', 'DynamicNorm', 'FutureSelfCont', 'LetterFutureGen', 'NegativeEmotions', 'PluralIgnorance', 'PsychDistance', 'SciConsens', 'SystemJust', 'WorkTogetherNorm']","['Belief', 'Policy', 'SHAREcc', 'WEPTcc']",8253,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables","Belief/Policy = item means, scales 0-100/0-100/0-1/0-8"
vlasceanu2024_global_4out,vlasceanu2024,downloads/data63.xlsx,Control,"['BindingMoral', 'CollectAction', 'DynamicNorm', 'FutureSelfCont', 'LetterFutureGen', 'NegativeEmotions', 'PluralIgnorance', 'PsychDistance', 'SciConsens', 'SystemJust', 'WorkTogetherNorm']","['Belief', 'Policy', 'SHAREcc', 'WEPTcc']",59440,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",all 63 countries
koetke2024_S3,koetke2024,downloads/Study 3/Study3CleanData.csv,Neutral / Male,"['High IH / Female', 'High IH / Male', 'Low IH / Female', 'Low IH / Male', 'Neutral / Female']","['Expertise', 'Integrity', 'Benevolence', 'Support', 'BehIntent', 'Competence', 'Warmth']",369,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",3 IH x 2 gender cells as arms; composites per the authors R script
koetke2024_S4,koetke2024,downloads/Study 4/Study4CleanData.csv,Low IH / White,"['High IH / Black', 'High IH / Latinx', 'High IH / White', 'Low IH / Black', 'Low IH / Latinx']","['Expertise', 'Integrity', 'Benevolence', 'Support', 'Competence', 'Warmth', 'SwitchYes']",371,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",2 IH x 3 race cells as arms
koetke2024_S5,koetke2024,downloads/Study 5/Study5CleanData.csv,Control,"['Limits of Methods', 'Limits of Results', 'Personal Humility']","['Expertise', 'Integrity', 'Benevolence', 'BeliefResearch', 'Competence', 'Warmth', 'FollowYes']",679,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables","METI subscales per IHS5 R code (METI_1 reverse), FollowYes = (Behavior Follow==1)"
gligoric2025_all,gligoric2025,downloads/Main Study/Analyses (data and codes)/dataMainStudy.csv,Control,"['Norms', 'ConservativeScientists', 'RespectableConservatives', 'ValueBased', 'Co-Benefit']","['climatologists', 'environmental scient', 'meteorologists', 'medical researchers', 'psychologists', 'nuclear scientists', 'computer scientists', 'sociologists']",7800,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",each respondent rates a random ~4 of 35 occupations -> per-outcome n ~870-970; pairwise covariance handles it
spampatti2023_all12,spampatti2023,downloads/Data/Preprocessed/Showdown.csv,"0 = passive control (sees disinfo, no inoculation)","[1, 2, 3, 4, 5, 6]","['Affect_sci', 'Affect_act', 'CCB', 'MIST_score', 'WEPT_90']",6816,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",pure control (-1) excluded; Affect_sci/act = mean of the 10 post-statement sliders
