run_id,stage,stub,task_id,submission,leak_verdict,counts_toward_promotion,scored_at,kappa,pred_mean_pp,pred_sd_pp,n_cells,n_cells_missing_scored_as_zero,r_adj,r_within_adj,rmse_adj_pp,truth_half_reliability,directional_agreement,cal_alpha,cal_beta,cal_beta_se,cal_r2,spread_ratio,mean_signed_error_pp,note
20260827T194235Z_s1,val,False,altenmueller2024,1,CLEAN,True,2026-08-27T19:53:43Z,1.0,0.82,1.952,10,0,1.0,1.0,2.4479,0.3511,0.9,2.8474,1.1815,0.2917,0.6722,0.6939,-2.9963,"honest first shot: analysis-first structural model, spread matched to train-split true-spread anchors"
20260827T194235Z_s1,val,False,beall2017,1,CLEAN,True,2026-08-27T19:53:43Z,1.0,0.344,7.171,96,0,0.493,0.1498,6.4503,0.592,0.6875,1.7143,0.2985,0.0751,0.1439,1.2707,-1.473,"honest first shot: analysis-first structural model, spread matched to train-split true-spread anchors"
20260827T194235Z_s1,val,False,dablander2025,1,CLEAN,True,2026-08-27T19:53:43Z,1.0,3.066,10.422,25,0,0.9988,0.9703,3.9586,0.9063,0.72,-2.8269,0.8058,0.0547,0.9042,1.1801,3.4223,"honest first shot: analysis-first structural model, spread matched to train-split true-spread anchors"
20260827T194235Z_s1,val,False,goldwert2026,1,CLEAN,True,2026-08-27T19:53:43Z,1.0,1.567,1.34,204,0,0.2208,0.1529,2.0985,0.4346,0.6078,0.8293,0.3176,0.1519,0.0212,0.4582,0.2398,"honest first shot: analysis-first structural model, spread matched to train-split true-spread anchors"
20260827T194235Z_s1,val,False,kerwer2025,1,CLEAN,False,2026-08-27T19:53:43Z,1.0,-1.292,2.748,136,0,0.1037,0.0562,3.3026,0.1289,0.6029,-2.7604,0.0516,0.1197,0.0014,0.7214,1.5353,"honest first shot: analysis-first structural model, spread matched to train-split true-spread anchors"
20260827T194235Z_s1,val,False,kim2024,1,CLEAN,True,2026-08-27T19:53:43Z,1.0,1.348,2.464,22,0,0.7017,0.7602,3.5207,0.8718,0.9545,-0.4483,1.369,0.353,0.4293,0.4786,-0.049,"honest first shot: analysis-first structural model, spread matched to train-split true-spread anchors"
20260827T194235Z_s1,val,False,orchinik2024,1,CLEAN,False,2026-08-27T19:53:43Z,1.0,0.321,1.652,50,0,-944.1583,-16816.7203,0.9947,0.0,0.68,0.2699,-0.0255,0.1231,0.0009,1.1723,0.0594,"honest first shot: analysis-first structural model, spread matched to train-split true-spread anchors"
20260827T194235Z_s1,val,False,altenmueller2024,2,CLEAN,True,2026-08-27T19:57:09Z,1.0,0.82,1.952,10,0,0.9074,0.533,2.1318,0.5361,0.7,1.8566,1.159,0.4609,0.4414,0.5733,-1.987,regime-conditional damping kappa=1.0 toward own grand mean; kappa=1.00 rows are identical resubmissions = fresh-draw replication controls
20260827T194235Z_s1,val,False,beall2017,2,CLEAN,True,2026-08-27T19:57:09Z,0.55,0.344,3.944,96,0,0.4712,0.0839,4.5784,0.5728,0.625,2.1576,0.4909,0.1326,0.1272,0.7265,-1.9824,regime-conditional damping kappa=0.55 toward own grand mean; kappa=1.00 rows are identical resubmissions = fresh-draw replication controls
20260827T194235Z_s1,val,False,dablander2025,2,CLEAN,True,2026-08-27T19:57:09Z,1.0,3.066,10.422,25,0,0.9932,0.9676,3.7032,0.907,0.68,-2.438,0.81,0.0579,0.8947,1.1677,3.0205,regime-conditional damping kappa=1.0 toward own grand mean; kappa=1.00 rows are identical resubmissions = fresh-draw replication controls
