arm,outcome,tier,code,outcome_target_mean,n_items,item,rule_clause,obj_pattern,pred_pattern,item_wording,stimulus_phrase
Corporate reliance,trust_multidimensional,half,0.5,0.6666666666666666,12,t.trust_competence_1,HALF,climate scientist,,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_1),"climate scientists develop models that forecast climate-related risks, such as sea-level rise, extreme weather events, and long-term temperature changes"
Corporate reliance,trust_multidimensional,half,0.5,0.6666666666666666,12,t.trust_competence_2,HALF,climate scientist,,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_2),"climate scientists develop models that forecast climate-related risks, such as sea-level rise, extreme weather events, and long-term temperature changes"
Corporate reliance,trust_multidimensional,half,0.5,0.6666666666666666,12,t.trust_competence_3,HALF,climate scientist,,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_3),"climate scientists develop models that forecast climate-related risks, such as sea-level rise, extreme weather events, and long-term temperature changes"
Corporate reliance,trust_multidimensional,full,1.0,0.6666666666666666,12,t.trust_integrity_1,F1,climate scientist,bias,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_1),these companies assess climate scientists’ work with financial incentives in mind and avoid basing decisions on information they view as biased or ideological
Corporate reliance,trust_multidimensional,full,1.0,0.6666666666666666,12,t.trust_integrity_2,F1,climate scientist,bias,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_2),these companies assess climate scientists’ work with financial incentives in mind and avoid basing decisions on information they view as biased or ideological
Corporate reliance,trust_multidimensional,full,1.0,0.6666666666666666,12,t.trust_integrity_3,F1,climate scientist,bias,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_3),these companies assess climate scientists’ work with financial incentives in mind and avoid basing decisions on information they view as biased or ideological
Corporate reliance,trust_multidimensional,half,0.5,0.6666666666666666,12,t.trust_benevolence_1,HALF,climate scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_1),"climate scientists develop models that forecast climate-related risks, such as sea-level rise, extreme weather events, and long-term temperature changes"
Corporate reliance,trust_multidimensional,half,0.5,0.6666666666666666,12,t.trust_benevolence_2,HALF,climate scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_2),"climate scientists develop models that forecast climate-related risks, such as sea-level rise, extreme weather events, and long-term temperature changes"
Corporate reliance,trust_multidimensional,half,0.5,0.6666666666666666,12,t.trust_benevolence_3,HALF,climate scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_3),"climate scientists develop models that forecast climate-related risks, such as sea-level rise, extreme weather events, and long-term temperature changes"
Corporate reliance,trust_multidimensional,half,0.5,0.6666666666666666,12,t.trust_openness_1,HALF,climate scientist,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_1),"climate scientists develop models that forecast climate-related risks, such as sea-level rise, extreme weather events, and long-term temperature changes"
Corporate reliance,trust_multidimensional,half,0.5,0.6666666666666666,12,t.trust_openness_2,HALF,climate scientist,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_2),"climate scientists develop models that forecast climate-related risks, such as sea-level rise, extreme weather events, and long-term temperature changes"
