study,sample,outcome,recipient,recipient_relation,recipient_is_message_subject,cost_type,stake,position,arm,n_t,n_c,ctrl_level_pp,ate_pp,se_pp,ate_pct_of_level,direct_pp,matched_att_ate_pp,note
voelkel2026,"US n=13,173",Donation_1,The Nature Conservancy,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,POOLED,10127,3046,13.757,-0.244,0.426,-1.776,-0.32,1.401,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_1,The Nature Conservancy,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Purity Framing,1002,3046,13.757,0.546,0.772,3.969,,1.128,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_1,The Nature Conservancy,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Consensus Framing 2,1016,3046,13.757,-1.252,0.711,-9.104,,1.738,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_1,The Nature Conservancy,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Consensus Framing 1,1020,3046,13.757,-0.585,0.718,-4.251,,0.805,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_1,The Nature Conservancy,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,High Social Distance Framing,1016,3046,13.757,-0.516,0.752,-3.752,,1.344,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_1,The Nature Conservancy,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,System Preservation Framing,1014,3046,13.757,0.967,0.793,7.03,,2.554,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_1,The Nature Conservancy,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Binding Framing,1029,3046,13.757,0.312,0.743,2.265,,0.172,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_1,The Nature Conservancy,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Free Market Framing,1017,3046,13.757,-0.735,0.718,-5.341,,1.85,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_1,The Nature Conservancy,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Gains Framing,990,3046,13.757,-0.371,0.741,-2.695,,2.795,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_1,The Nature Conservancy,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Warmth Framing,994,3046,13.757,-0.668,0.748,-4.854,,-0.35,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
