outcome,level_control_lo,level_control_ctr,level_control_hi,resp_lo,resp_ctr,resp_hi,abs_ate_pp_ctr,n_sources,sources,notes
trust_multidimensional,62,69,74,1.0,1.0,1.0,1.0,8,tisp;gligoric2025;koetke2024;agley2021;geiger2026;pew_atp;anes;gss,"NORMALISER by construction. Level = TISP 12-item scale 71.5 (generic) minus the 4-5pp climate-specific penalty (TISP CLIM_TRUST 67.0), plus ~+2-4pp for 0-100 bipolar-slider format. Base |ATE| 1.0pp (band 0.5-2.0): gligoric +0.48, agley +0.33, Veckalov +0.33, koetke S5 +2.43."
trust_post,60,67,73,0.85,1.05,1.3,1.05,4,tisp(CLIM_TRUST);gligoric2025;geiger2026_Veckalov;pew_atp,"Same construct, single item: same mean shift, ~1.5x the residual noise. TISP CLIM_TRUST 67.0 on 1-5 is the direct analogue. Single items sit 1-3pp ABOVE the 12-item composite in TISP (73.4 vs 71.5 generic) but climate-specific pulls it down."
distrust_post,27,34,42,-1.1,-0.75,-0.35,-0.75,2,tisp;pew_atp(W42 facets),"SIGN IS NEGATIVE (higher=more distrust, NOT reverse-coded). No train source has a matched trust/distrust slider pair, so this is the weakest responsiveness cell. 100-trust would give 33; negatively-worded items run 1-5pp above that mirror value and are less responsive (|r|<1)."
funding_perceptions,57,64,71,0.1,0.3,0.55,0.3,3,"gss(natsci,natenvir);wellcome2018(Q14B funding transparency);pew_atp","GSS natsci ""federal spending on scientific research"" scored exactly as funding_perceptions (too little=100/about right=50/too much=0) = 66.5 (2021-24 wtd, n=10,523); natenvir = 78.4. Climate-specific version is more polarised so sits at/below natsci. The Funding intervention asserts this construct directly -> expect 2-3x the profile value for that one arm."
policy_role_mean,61,67,72,0.12,0.3,0.5,0.3,1,tisp(NORMPERC_integrate/advocate/communicate/involved),"EXACT ITEM MATCH: TISP NORMPERC items are the target policy_role_1..4 verbatim. US weighted 1-5: integrate 62.1, advocate 67.5, communicate 66.9, involved 63.6; 4-item mean 65.0 (se 0.52, n=2,559), sd 25.9pp. Slider rendering adds ~+2. Cross-sectional slope on CLIM_TRUST = 0.46 pp/pp; x cross-domain propagation ~0.65 -> 0.30."
inst_trust_mean,50,56,62,0.12,0.28,0.48,0.28,3,"pew_atp(W149 agency favourability topline 2024);gss(confed,coneduc,consci);anes","Built from Pew W149 2024 (N=9,424) agency favourability recoded to 0-100 with ""not sure""=50: EPA 54, NASA 67, NPS 74 (NOAA proxy ~62), Dept of Education 46 (universities proxy; GSS coneduc 47.5), federal government GSS confed 33.1. 5-item mean ~54; slider format +2. Range is wide because NOAA has no direct train measurement."
belief_post,61,68,74,0.15,0.28,0.45,0.28,5,voelkel2026;vlasceanu2024;bago2025;ccam;geiger2026,"voelkel2026 control post items 72.0/71.8 (0-100), vlasceanu US control 66.5, bago2025 Prolific human-causation slider 70.9 (Prolific skews +5-8 vs quota). Responsiveness: trust and belief DISSOCIATE (koetke S5 raises trust +2.4 while cutting belief-in-research -5.2; Veckalov moves consensus 6.4 and trust 0.3). Do not route trust gains into belief 1:1."
concern_mean,52,58,64,0.1,0.22,0.38,0.22,4,voelkel2026;ccam;anes;tisp,"voelkel2026 control post 60.4 (items 61.2/64.5/55.6); the target adds ""relative to other issues"" which is the lowest-scoring concern item everywhere (ANES 2020 importance 57.4 vs severity 62.6), so the composite sits ~2pp below voelkel2026. Concern/worry runs at 0.7-1.1x belief in every train study that measures both."
policy_general,60,66,72,0.08,0.2,0.33,0.2,4,voelkel2026(exact item);vlasceanu2024;geiger2026;attari2016,"EXACT ITEM MATCH: voelkel2026 Policies includes ""The U.S. government should do more to reduce global warming""; control post composite 68.0. vlasceanu US control 62.5. Responsiveness anchored on attari2016: a researcher-credibility manipulation of 21.9pp moved climate-policy support 4.7pp -> transfer 0.21 (per-policy 0.08-0.29)."
policy_specific_mean,55,61,67,0.07,0.17,0.3,0.17,2,voelkel2026(PoliciesSp);tisp(CLIM_POLSUPPORT 5 items),"TISP US 1-4 items: fuel tax 41.3, public transport 51.0, sustainable energy 52.3, protect land 58.4, food tax 36.9 (5-item mean 48.0). voelkel2026 PoliciesSp 53.3. The target set is 5 popular + 2 tax items so it sits ~8-13pp above the TISP mean. Cross-sectional slope on CLIM_TRUST 0.32 pp/pp."
behavior_mean,34,40,46,0.06,0.18,0.35,0.18,3,"voelkel2026(IntentNp,Intent);vlasceanu2024(WEPT);spampatti2023(WEPT)","Item-level build from voelkel2026 control post: meat 38.9, transport 46.3, fly less 52.8, give money to env group 30.5 (+ solar ~20-25 and talk-to-family ~45-50 with no train analogue) -> 6-item mean ~40. Intentions moved MORE than belief in voelkel2026 (1.84 political / 1.17 non-political vs 1.23) but effortful behaviour moved NEGATIVE (vlasceanu WEPT -2.3 global)."
donation_ams,22,34,48,-0.1,0.12,0.4,0.12,2,voelkel2026(real $1 dictator);voelkel2024(SDC dictator game),"WEAKEST LEVEL ANCHOR. Only train dictator with a charity recipient: voelkel2026 gave 61.5% of a $1 endowment to 5 environmental NGOs, but bimodal (29.7% gave 0, 47.2% gave all) and a $1 stake with a named charismatic charity. A $10 stake in $1 increments to a professional society (AMS) should run far lower. Effect sign: voelkel2026 ATEs were 9/10 NEGATIVE (mean -1.38, rms_true 0.69 = noise). Counter-evidence: SDC dictator game moved 4.38pp vs 4.94pp for the matched attitude (ratio 0.89) when the money was directly about the targeted attitude object."
newsletter_signup,4,12,25,0.0,0.45,1.6,0.45,2,vlasceanu2024(Sharing binary);koetke2024(S5 follow-up opt-in),"SCORED UNIT: 1 percentage point of signup = 1.0 scored pp, so a binary opt-in is ""scale-efficient"" and can out-move the trust composite. vlasceanu Sharing (48.5% base, n=3,808/arm) moved +6.55pp = 4.5x the belief slider in the same sample; koetke S5 follow-up opt-in (44.0% base, n=156/arm) moved -4.8 to -10.2pp (se 5.7, i.e. noise). LEVEL: the target offer needs an external tab + a real subscription, far more friction than either train measure -> 4-25%, centre 12%."
