question,dataset,rows_or_columns_used,quantity,value,note
Q1 donation,voelkel2026,"downloads/CCC - Data - Recoded.csv; Condition startswith ""Control"", n=3046; col Donation = 100 - Donation_6","control-arm donation, cents of a CERTAIN $1 across 5 named environmental NGOs","61.54 (sd 45.32); P(0)=0.310, P(100)=0.493, P(50)=0.042","2024 US quota panel; questionnaire p.28 confirms 100 cents, real, certain"
Q1 donation,voelkel2026,"same file, 10 message arms vs 3 pooled controls",donation ATEs (pp of 0-100 endowment),"-3.95 .. +0.53, mean -1.38, mean se 1.65, sd_obs 1.19 -> sd_true ~0",9 of 10 arms negative; belief +1.42 / concern +1.70 in the same arms
Q1 donation,voelkel2024,"downloads/SDC - Data - Recoded.csv, PA_DG, n=31908",dictator-game allocation shape (self vs out-partisan),"mean 61.41, P(50)=0.484, P(100)=0.120, P(0)=0.033",equal-split spike dominates when the frame is self-vs-other rather than keep-vs-donate
Q1 donation,benchmark,survey/survey.qsf QID1721185865/66,target stimulus wording,"$10 bonus paid to only 100 randomly selected participants (~0.6% of ~18k); 11-option single-answer horizontal; AMS described as non-profit, non-partisan, 12,000 scientists",expected cost of donating $1 is ~$0.0056
Q2 newsletter,vlasceanu2024,"downloads/data_notimers.csv (latin-1), country=usa, Share (0=not willing,1=willing,2=no social media)","binary sharing rate + ATEs vs 0-100 belief slider, same arms","US control 53.47%; mean ATE +7.70 pp (11 arms) vs belief slider +4.54 pp; ratio_pp 1.70, ratio_latent 1.36","global: 48.49% control, +6.52 vs +1.33, ratio_pp 4.91, ratio_latent 3.02"
Q2 newsletter,koetke2024,"downloads/Study 5/Study5CleanData.csv, Behavior Follow (3 dropped), METI_1..14 (METI_1 reversed)","binary opt-in vs 14-item trust scale, 4 arms",control follow 44.0%; ATEs -4.84/-9.38/-10.21 pp while METI +1.57/+3.14/+1.85 pp,"sign REVERSES: opt-in falls while trust rises; n~155/arm, |t|~1-1.7"
Q2 newsletter,voelkel2024,"SPV (continuous 0-100) and SPV_D (dichotomised, base 13.93%), 26 arms vs Null_Control",validation of the Gaussian latent-threshold conversion,"regress observed dichotomised ATE on 100*phi(z*)*(dSPV/sd_SPV): slope 1.405, r=0.974",confirms the conversion; slope>1 because the latent is right-skewed
Q2 newsletter,bago2025,"downloads/anonim_df.csv, bookmarked*/vote*",NOT USED,"forced per-headline selection tasks, not spontaneous opt-ins",concurs with ANCHORS_E
Q3 trust,tisp,"downloads/ds_final.csv (sep="";""), COUNTRY_NAME=United States, n=2559, WEIGHT_CNTRY (comma decimal)","generic-scientist 12-item composite, the target instrument verbatim except referent+format","71.52 (se 0.41, sd 20.62); facets competence 78.60 / integrity 71.06 / benevolence 70.35 / openness 66.06","core-questionnaire_english.pdf: 10 of the 12 target items are verbatim, ""expert""->""competent"" and ""qualified..."" differ slightly"
Q3 trust,tisp,"CLIM_TRUST vs comp12 and vs TRUST_PEW, same respondents","climate-referent penalty, within person","CLIM_TRUST 67.01 (se 0.65, sd 32.52); CLIM_TRUST - comp12 = -4.50 (se 0.46); CLIM_TRUST - TRUST_PEW = -3.92 (se 0.48)","CLIM_TRUST wording = the target trust_post wording, 5-pt instead of slider"
Q3 trust,gligoric2025,"Main Study dataMainStudy.csv, Condition==Control (n=2248), 2 items (credible, trustworthy) per occupation, random subset ~250/occupation","climate-label penalty, between occupations, within respondents",climatologists 61.8 (n=248) vs 35-occupation grand mean 71.8 -> -9.9; meteorologists 69.2; environmental scientists 68.2; oceanographers 75.8,"2024 US quota; grand mean 71.8 coincides with TISP 71.5, so the -9.9 is a label effect not a format effect"
Q3 trust,pew_atp,"w42/ATP_W42.sav, RQ4_F1A*/B*/C*, WEIGHT_W42, form-1 n=2226 answered ALL THREE batteries","environmental vs medical research scientists, within person, same 5 items","environmental 67.21, medical 66.80 (diff +0.40, se 0.56), nutrition 62.92; CONFD scientists (F2) 73.27","no domain penalty for ""environmental research scientists"" in 2019 -> lower bound on the climate penalty"
Q3 trust,vlasceanu2024,"Trust_sci1_1 / Trust_sci2_1 (0-100 sliders, asked of the CONTROL condition only), US n=581/628","climate-scientist trust on a 0-100 slider, US quota 2022","competence of climate change research scientists 68.71 (sd 27.09; 9.0% at 100, 25.3% >=90, 1.4% at 0); trust in climate research 67.86 (sd 28.82)","untreated; sample ideology mean 55.4/100 (slightly right of centre), not liberal-skewed"
Q3 trust,tisp + vlasceanu2024,quantile-match CLIM_TRUST weighted category shares to the Trust_sci2_1 slider ECDF,5-pt -> 0-100 slider format effect,E[slider|cat] = 7.3 / 29.2 / 57.7 / 76.9 / 94.0 (vs the linear 0/25/50/75/100); applying it to the TISP 12-item shares gives 72.52 vs 71.52,"format effect on the composite = +1.0 pp, NOT the +2..+4 assumed in ANCHORS_E"
Q3 trust,gss,"GSS_stata/gss7224_r3a.dta (encoding latin1), consci, wtssps",time trend in generic trust,2018 70.75 / 2021 70.33 / 2022 63.15 / 2024 62.16,2022->2024 slope -0.5 pp/yr; extrapolation to a 2025-26 field date = -1.5 pp vs TISP 2022-23
Q3 trust,geiger2026 (via anchors/_geiger_rows.csv),"Veckalov US control cell, scientist_trust 1-7, n=125","trust in climate scientists, convenience sample",80.27 raw; re-weighted to a CCAM-like ideology split (26/41/31) = 71.3,78 left vs 28 right in the raw cell; low weight
Q3 trust,ccam,anchors/levels.csv rows (ideology marginals 2020-2024),ideology composition used to re-weight the Veckalov cell,liberal 26.3% / moderate 41.0% / conservative 30.9%,used only as a re-weighting target
